sentence,max_distance,hobby_relatability_score,job_relatability_score
A writer who enjoys gardening.,25,9,7
The nurse who enjoys photography.,25,7,10
A teacher who enjoys cooking.,50,5,1
A teacher who enjoys painting.,50,1,1
The writer who enjoys writing.,100,8,7
A programmer who enjoys hiking.,50,6,8
A teacher who enjoys gardening.,25,9,1
The teacher who enjoys cycling.,25,2,1
A teacher who enjoys photography.,25,7,1
A designer who enjoys cycling.,50,2,9
The artist who enjoys hiking.,50,6,4
The teacher who enjoys cycling.,100,2,1
A writer who enjoys painting.,25,1,7
The doctor who enjoys cycling.,50,2,3
The doctor who enjoys painting.,100,1,3
A teacher who enjoys hiking.,50,6,1
A chef who enjoys writing.,25,8,5
The doctor who enjoys gaming.,25,3,3
The scientist who enjoys swimming.,100,10,6
A chef who enjoys hiking.,100,6,5
A engineer who enjoys swimming.,100,10,2
A scientist who enjoys painting.,25,1,6
A artist who enjoys cooking.,50,5,4
The writer who enjoys swimming.,25,10,7
The teacher who enjoys reading.,100,4,1
The scientist who enjoys writing.,100,8,6
The designer who enjoys cycling.,25,2,9
A teacher who enjoys cycling.,50,2,1
The scientist who enjoys swimming.,100,10,6
A writer who enjoys hiking.,100,6,7
The artist who enjoys cycling.,50,2,4
A teacher who enjoys reading.,50,4,1
A designer who enjoys cooking.,50,5,9
A designer who enjoys gaming.,25,3,9
The designer who enjoys photography.,50,7,9
A doctor who enjoys gaming.,25,3,3
The designer who enjoys hiking.,25,6,9
The programmer who enjoys gardening.,25,9,8
A doctor who enjoys photography.,100,7,3
A engineer who enjoys gardening.,50,9,2
The artist who enjoys hiking.,100,6,4
A designer who enjoys reading.,25,4,9
A chef who enjoys writing.,50,8,5
A artist who enjoys painting.,25,1,4
A writer who enjoys painting.,100,1,7
A teacher who enjoys gardening.,100,9,1
The nurse who enjoys cooking.,25,5,10
The teacher who enjoys reading.,50,4,1
A writer who enjoys photography.,25,7,7
The artist who enjoys photography.,50,7,4
A artist who enjoys gardening.,100,9,4
A writer who enjoys writing.,25,8,7
The writer who enjoys cooking.,100,5,7
The engineer who enjoys swimming.,50,10,2
A engineer who enjoys gardening.,25,9,2
The designer who enjoys painting.,100,1,9
The programmer who enjoys cycling.,50,2,8
The scientist who enjoys cycling.,25,2,6
A artist who enjoys gardening.,50,9,4
A chef who enjoys cooking.,50,5,5
A doctor who enjoys reading.,50,4,3
A scientist who enjoys cycling.,50,2,6
A doctor who enjoys cooking.,100,5,3
A artist who enjoys painting.,50,1,4
A scientist who enjoys reading.,100,4,6
A artist who enjoys gardening.,100,9,4
The engineer who enjoys painting.,50,1,2
The doctor who enjoys writing.,100,8,3
A nurse who enjoys hiking.,100,6,10
The designer who enjoys reading.,25,4,9
A chef who enjoys cycling.,25,2,5
The artist who enjoys cycling.,25,2,4
A chef who enjoys hiking.,100,6,5
